id_steam,name_imdb,name_steam,positive,negative,estimated_owners_min,estimated_owners_max
311140,Метро-2,The Stalin Subway,409,260,200 000,500 000
311120,Метро-2: Смерть Вождя,The Stalin Subway: Red Veil,266,300,200 000,500 000
289480,The Tomorrow War: Factor K,The Tomorrow War,56,58,0,20 000
37000,Тургор,The Void,889,211,50 000,100 000
1132980,There Is No Light: Enhanced Edition,There Is No Light: Enhanced Edition,621,236,20 000,50 000
2905090,ÜberSoldier,UberSoldier,116,21,0,20 000
281410,ÜberSoldier II,UberSoldier II,430,133,100 000,200 000
1828910,"Вий: История, рассказанная заново",Viy: Retold Story,37,11,20 000,50 000
1316680,Vladik Brutal,VLADiK BRUTAL,7 244,752,500 000,1 000 000
2183900,"Warhammer 40,000: Space Marine II","Warhammer 40,000: Space Marine 2",127 527,26 488,5 000 000,10 000 000
203630,Warlock: Master of the Arcane,Warlock - Master of the Arcane,2 214,356,500 000,1 000 000
205990,Warlock 2: The Exiled,Warlock 2: The Exiled,867,380,200 000,500 000
619150,While True: Learn(),while True: learn(),6 854,639,500 000,1 000 000
45300,IL-2 Sturmovik: Birds of Prey,Wings of Prey,442,255,100 000,200 000
815570,Witches' Legacy 3: Hunter and the Hunted,Witches' Legacy: Hunter and the Hunted Collector's Edition,6,1,0,20 000
941000,Witches' Legacy 2: Lair of the Witch Queen,Witches' Legacy: Lair of the Witch Queen Collector's Edition,11,0,0,20 000
586710,Witches' Legacy 5: Slumbering Darkness,Witches' Legacy: Slumbering Darkness Collector's Edition,7,3,0,20 000
1074700,Witches' Legacy: The Charleston Curse,Witches' Legacy: The Charleston Curse Collector's Edition,17,3,0,20 000
466100,Witches' Legacy 4: The Ties That Bind,Witches' Legacy: The Ties That Bind Collector's Edition,10,2,0,20 000
7510,X-Blades,X-Blades,1 944,1 228,500 000,1 000 000
1823380,Amnesia,AMNESIA,0,0,0,20 000
2447260,Cats on Duty,Cats on Duty,0,0,0,20 000
2099990,Graveyard Keeper,graveyard keeper,0,0,0,20 000
1393670,Los Cops,Los Cops,0,0,0,20 000
2659040,M.O.Z.I.,M.O.Z.I.,0,0,0,20 000
1599490,One Way Road,One Way Road,0,0,0,20 000
1815330,Swelter,Swelter,0,0,0,20 000
46220,Classic Car Racing,,0,0,0,20 000
723920,Dangerous Games: Illusionist Collector's Edition,Dangerous Games: Illusionist Collector's Edition,2,0,0,20 000
1604000,Milk outside a bag of milk outside a bag of milk,Milk outside a bag of milk outside a bag of milk,16 972,502,200 000,500 000
1157740,Iron Meat,Iron Meat,767,25,50 000,100 000
1392820,Milk inside a bag of milk inside a bag of milk,Milk inside a bag of milk inside a bag of milk,27 746,933,500 000,1 000 000
635260,CarX Drift Racing Online,CarX Drift Racing Online,78 036,3 819,1 000 000,2 000 000
33100,Alien Shooter,Alien Shooter,3 955,204,500 000,1 000 000
