name_imdb,release_year,imdb_score,rew_amount
Half-Life: Field Intensity,2022,"6,7",18
Half-Life: Induction,2009,,
Halloween Chronicles: Evil Behind a Mask,2019,,
Halloween Chronicles: Monsters Among Us,2018,,
Halloween Stories: The Neglected Dead,2021,,
Hand Simulator,2017,,
Hard to Be a God,2007,,
Hard Truck: Apocalypse,2005,"5,5",7
Haunted Legends: Twisted Fate,2019,,
Haydee,2016,"6,6",17
Haydee II,2020,,
Hedgewars,2006,,
Hellforces,2005,"6,1",35
Hello Guest,2020,"7,5",32
Hello Neighbor,2017,"5,3",590
Hello Neighbor: Hide & Seek,2018,"6,2",90
Heroes of Might and Magic V: Hammers of Fate,2006,"6,3",25
Heroes of Might and Magic V: Tribes of the East,2007,"6,7",26
Hidden Expedition: A King's Line,2021,,
Hidden Expedition: Smithsonian Hope Diamond,2013,,
Homescapes,2017,"6,4",42
House of 1000 Doors: Serpent Flame,2013,"7,2",25
Hugo lernt Englisch 1,2012,,
Hugo Spielewerkstatt,2010,"3,4",6
I am not a Monster: First Contact,2018,,
I.M,1995,"6,5",11
IL-2 Sturmovik,2001,"7,0",8
IL-2 Sturmovik: Battle of Stalingrad,2013,"6,4",14
IL-2 Sturmovik: Birds of Prey,2009,"7,2",67
IL-2 Sturmovik: Forgotten Battles,2003,,
IMVU,2004,"5,7",8
Indika,2024,"7,1",108
Inhabited Island: Prisoner of Power,2007,,
Intrusion 2,2012,,
Inversion,2012,"6,6",110
Iron Meat,2024,"7,5",15
Isekai Tales,,,
Istrebiteli,,,
Karma Incarnation 1,2016,,
Kazakh Drive,2020,,
King's Bounty II,2021,"5,6",26
King's Bounty: Воин Севера,2012,"7,5",25
King's Bounty: Легенда о рыцаре,2008,"7,8",64
King's Bounty: Принцесса в доспехах,2009,"8,3",70
King's Bounty: Тёмная сторона,2014,"7,7",22
Kitten adventures in city park,2017,,
Knight's Rush,2010,,
Knock-Knock,2013,"6,5",9
Kot-rybolov,,,
Kotigoroshko,,,
Kreed,2003,,
Kreed: Battle for Savitar,2004,,
Labyrinths of the World: Fool's Gold,2019,,
Labyrinths of the World: Hearts of the Planet,2020,,
Laura Jones and the Secret Legacy of Nikola Tesla,2009,,
Legends of Eisenwald,2015,,
Level Zero: Extraction,2024,,
Liath: WorldSpiral,1998,,
Lift Uzhasa,2014,"7,2",33
Link: The Faces of Evil,1993,"4,4",581
Loco Parentis,2019,"2,4",8
Los Cops,2021,,
Love Chronicles: Death's Embrace,2017,,
"Love, Money, Rock 'n' Roll",2022,"6,2",13
M.O.Z.I.,,,
Mad Cars,2004,,
Mahjong Magic Journey,2018,,
Majesty 2: The Fantasy Kingdom Sim,2009,"8,2",22
Mama's farm: Match 3,2020,,
Maritim - GO!,2014,,
Mayan Prophecies: Cursed Island,2013,,
Metel: Horror Escape,2020,,
Milk inside a bag of milk inside a bag of milk,2020,"7,4",92
Milk outside a bag of milk outside a bag of milk,2021,"8,2",49
Mirt. Tales of the Cold Land,2017,,
Morskie legendy,1995,,
Moskovskoe bukhalovo,2014,"6,9",36
Muslim Adventure,2020,,
Mutant Rampage: Bodyslam,1994,,
MUZY,2024,"6,2",8
Mystery Tales: Eye of the Fire,2016,,
Mystery Tales: The Twilight World,2015,,
Mystery Village: Shards of the Past,2018,,
Mythical creatures of Ireland: Elves,2018,,
Neuro,2006,,
Neuro Hunter,2005,,
Niffelheim,2016,"6,5",15
Oh My Pool!,2018,,
Olympus 2207,2014,,
One Dollar Simulator,2020,,
One Eyed Kutkh,2017,"3,8",8
One Manga Day,2014,,
One Way Road,,,
Ostrov drakona,,,
Ostrov sokrovishch,,,
Ovivo,2017,,
Pacific Fighters,2004,,
Paranoia,2007,,
Paranoia 2: Savior,2015,,
Paranormal Files: Hook Man's Legend,2019,,
Partisans 1941,2020,"7,5",11
Pathfinder: Kingmaker,2018,"7,2",173
Phantom Signal,2018,,
Pioner,2025,,
Pithon,,,
Pixelcalypse,2019,,
Post Apocalyptic Desolation: The Game,2018,"1,9",23
Postal 2: Штопор жжот!,2005,"3,3",20
Postal III,2011,"3,3",299
Postworld,2018,,
Project Pulsation,2015,,
Protocol,2018,,
Psebay,2014,,
Pudding Monsters,2013,"6,1",8
Punch Club,2016,"6,8",89
PUSS!,2018,"5,5",8
Red Shark,2002,,
Redeemer,2017,"6,2",18
