id_steam,name_imdb,name_steam,release_date,price,developers,publishers
657200,Hand Simulator,Hand Simulator,18.07.2017,2.99,HFM Games,HFM Games
1227530,Partisans 1941,Partisans 1941,14.10.2020,29.99,Alter Games,Daedalic Entertainment
764500,Deep Dark Fight,Deep Dark Fight,28.12.2017,2.99,EncoderX,EncoderX
719750,PUSS!,PUSS!,02.08.2018,9.99,teamcoil,teamcoil
447290,Redeemer,Redeemer: Enhanced Edition,01.08.2017,9.99,Sobaka Studio,ESDigital Games
212070,Star Conflict,Star Conflict,27.02.2013,,Star Gem Inc.,Gaijin Network Ltd
46220,Classic Car Racing,,,,,
531660,Exoplanet: First Contact,Exoplanet: First Contact,09.12.2016,19.99,Alersteam,"GrabTheGames, UpgradePoint"
724490,Protocol,Protocol,20.11.2018,8.99,Fair Games Studio,Sad Horse studio
764510,Phantom Signal,Phantom Signal — Sci-Fi Strategy Game,16.01.2018,5.99,Veslo Games,Veslo Games
1823380,Amnesia,AMNESIA,14.01.2022,9.99,Super Alex,Super Alex
693800,Loco Parentis,Loco Parentis / 孤女咒怨,19.09.2019,11.99,Fair Games Studio,"Sad Horse studio, Pleasant Rain Ltd"
560820,The Saint: Abyss of Despair,The Saint: Abyss of Despair,02.02.2017,3.99,Happy Artist,Alawar Casual
1090390,House of 1000 Doors: Serpent Flame,House of 1000 Doors: Serpent Flame,23.05.2019,6.99,Five BN,Alawar Casual
852720,Voxel Tanks,Voxel Tanks,05.06.2018,2.99,PigeonDev,PigeonDev
1272160,The Life and Suffering of Sir Brante,The Life and Suffering of Sir Brante,04.03.2021,19.99,Sever,101XP
1666500,Write 'n' Fight,Write 'n' Fight,22.08.2022,12.99,"[""AVOS""]","[""AVOS""]"
1393670,Los Cops,Los Cops,coming_soon,,Valeriy Mironov,Valeriy Mironov
1603860,The Frosts: First Ones,The Frosts: First Ones,31.08.2021,2.99,Ivan Sukhanov,Ivan Sukhanov
15280,Pacific Fighters,IL-2 Sturmovik: 1946,13.06.2008,9.99,1C: Maddox Games,Fulqrum Publishing
608660,Psebay,Psebay,12.07.2017,9.99,Eugeny Butakov,Eugeny Butakov
620530,Mirt. Tales of the Cold Land,,,,,
1759700,The Abandoned,The Abandoned,14.10.2021,4.99,Sly Cat Games,Sly Cat Games
817490,Viki Spotter: Around the World,,,,,
826600,I am not a Monster: First Contact,I am not a Monster: First Contact,27.09.2018,10.99,Cheerdealers,Alawar
612170,One Eyed Kutkh,One Eyed Kutkh,30.03.2017,2.99,Baba Yaga Games,Baba Yaga Games
552970,Sumoman,Sumoman,28.03.2017,14.99,Tequilabyte Studio,Tequilabyte Studio
643870,Kitten adventures in city park,Kitten Adventures in City Park,08.09.2017,,Lokator Studio,Lokator Studio
567140,Mahjong Magic Journey,Mahjong Magic Journey,08.03.2018,2.99,Creobit,8Floor
878580,GARAGE: Bad Trip,GARAGE: Bad Trip,06.07.2018,14.99,Zombie Dynamics,tinyBuild
2433390,Grim Tales: Echo of the Past,Grim Tales: Echo of the Past,20.06.2023,9.99,Elephant Ar,Big Fish Games
587420,Cart Racer,Cart Racer,05.06.2017,0.99,HFM Games,HFM Games
831470,One Dollar Simulator,One Dollar Simulator,15.02.2020,1.00,Funny Twins,Funny Twins
446270,UnnyWorld,,,,,
723920,Dangerous Games: Illusionist Collector's Edition,Dangerous Games: Illusionist Collector's Edition,04.10.2017,9.99,Blam! Games,Big Fish Games
2447260,Cats on Duty,Cats on Duty,29.07.2024,9.99,Prikol Team,ESDigital Games
1599490,One Way Road,One Way Road,coming_soon,,Shabunov Leonid,Valkyrie Initiative
2659040,M.O.Z.I.,M.O.Z.I.,coming_soon,,Mihanikus Games,Mihanikus Games
1489380,Bad boy simulator,Bad boy simulator,02.01.2021,9.99,SoftWeather Games,SoftWeather Games
1425030,Cyberwinter,Cyberwinter,23.06.2021,4.99,Panda Pasha Games,Panda Pasha Games
1245430,Golden Light,Golden Light,11.03.2022,19.99,Mr. Pink,HypeTrain Digital
